#,Chart_1,Chart_4,Chart_7,Chart_8,Chart_9,Chart_11,Chart_12,Chart_13,Chart_20,Chart_24,Chart_26,Closure_2,Closure_10,Closure_11,Closure_13,Closure_18,Closure_19,Closure_21,Closure_22,Closure_25,Closure_31,Closure_38,Closure_40,Closure_46,Closure_59,Closure_62,Closure_70,Closure_73,Closure_86,Closure_92,Closure_102,Closure_109,Closure_115,Closure_125,Closure_126,Lang_6,Lang_7,Lang_10,Lang_13,Lang_18,Lang_21,Lang_22,Lang_27,Lang_33,Lang_39,Lang_57,Lang_58,Lang_59,Lang_63,Math_3,Math_5,Math_8,Math_11,Math_15,Math_28,Math_30,Math_32,Math_33,Math_50,Math_52,Math_56,Math_57,Math_59,Math_62,Math_63,Math_73,Math_75,Math_79,Math_80,Math_82,Math_85,Math_88,Math_89,Math_94,Math_96,Math_97,Math_101,Mockito_29,Mockito_38,Time_2,Time_7,Time_17,Time_18,Time_19,Time_26
Chart_1,1.0,0.9810584233545148,0.9552148941230912,0.9236636405736012,0.96364217001058,0.9744491765867751,0.8897465132352423,0.914891348977264,0.8863762416939848,0.9350688704759744,0.9715090315609284,0.9536150997294875,0.9359207186355565,0.9720982894395339,0.9696449677065085,0.9703935375991534,0.9537544197874007,0.9731388465103056,0.9691839939775865,0.9739136822270044,0.970552208217934,0.9566835502375042,0.9814024542904601,0.9615364346726653,0.9576699662072514,0.9718839157818469,0.9796642320401111,0.952904025585951,0.9280869680836051,0.9646701788539976,0.953257460946571,0.9238221851434503,0.9806388569935488,0.9710869736357332,0.974608849438761,0.9859578691599711,0.970864115660399,0.8670126562586504,0.9471228835884764,0.9416343917627805,0.9336603915764637,0.8025407888424914,0.9702478582723779,0.9379811777552968,0.9600632583223746,0.9404921137916913,0.9712213842190687,0.9781275288099276,0.9651157852888189,0.9259285519955329,0.9528283749140543,0.9586382264153457,0.9594951921831152,0.9132727892908583,0.9876791821386083,0.9183418104629065,0.9639496240516353,0.9716779323201717,0.9637979804688838,0.9660225031254779,0.9236722811613326,0.9534275049259578,0.9106844088398501,0.9025937854464584,0.9188631517684844,0.9744361955288667,0.9108122702375225,0.9292063792851374,0.8856163337479843,0.9818558381982598,0.956019479299618,0.9723049007262909,0.9087087776965583,0.8214204272585302,0.9687910159325307,0.9564620103346033,0.9673260196253853,0.8977839136674347,0.9394336488714279,0.9680901322623535,0.9776532053784532,0.9553993113558735,0.9535816823695857,0.963412229646039,0.9579325986745443
Chart_4,0.9810584233545148,1.0,0.9335938093254197,0.94415988607476,0.9586320154804964,0.9647563115407053,0.9060227225878387,0.908440080196676,0.9026447891559701,0.9119940125019963,0.9776071631296921,0.9806575532629856,0.9260690605907788,0.9887916605315139,0.9832947481019318,0.9802430704177536,0.9773432066090406,0.9659915301739782,0.9626568720854208,0.9906491989297512,0.9818121332107519,0.9384768706677034,0.9912803654117829,0.9818309952614855,0.9721980203120576,0.9783297008175822,0.9946885071030003,0.9582596199805591,0.9355452291913945,0.9803175160479989,0.9791838392907868,0.9462572623793325,0.9827165159695382,0.9902595963045844,0.9910708168011834,0.9804286234793826,0.9605545037999185,0.8739462597280492,0.9724494777442024,0.9605125207650681,0.9288480394364194,0.7645715662637711,0.9602060989144323,0.923722961839901,0.9408843715136684,0.9453802824440651,0.9620192702758793,0.9710989115288836,0.957787973122253,0.8988750106063769,0.9161412571183297,0.9631366472925778,0.948853918624386,0.8674251643560811,0.9817822010825114,0.8953523971795113,0.9626125376034275,0.9574414312040059,0.9516910494524923,0.9735723864311624,0.9128922447711005,0.9719887812374793,0.894189856454316,0.9189346685400843,0.8973379165532112,0.9731831464625751,0.9284895682513374,0.9033107671638404,0.8491852265507733,0.9745562560991073,0.9422187449503334,0.9640663507394331,0.9373534304780805,0.7851951003040871,0.9754713430716364,0.9553859632228715,0.9801665884229902,0.9319932616619403,0.9595424932325459,0.9621147603349779,0.9891281252368483,0.9318081351548537,0.9523854060407904,0.929648930877148,0.9685577202411453
Chart_7,0.9552148941230912,0.9335938093254197,1.0,0.8568051423717592,0.9189165480150487,0.9333025507979096,0.9064419813266049,0.8934699349873444,0.8427389129288065,0.9575387754256467,0.9415070524837823,0.8955761811301873,0.8816619476018597,0.9252408143611052,0.937637695405438,0.9326538645637334,0.9094667673546907,0.9396968087391079,0.9398974188057639,0.9282112635004601,0.9343452257909308,0.9455539917563172,0.9261088767527925,0.9168800009308563,0.9190118299522507,0.9337022969394995,0.9253598619536622,0.9267095493660503,0.8871216075807185,0.9358488861351341,0.895546013679057,0.8456887315352724,0.9376134481669691,0.9321962102696414,0.9357063565993685,0.9392673607469458,0.93496566993417,0.8343149361053317,0.8799420143982295,0.900508118507994,0.8999566316986929,0.805989276039291,0.9333148813215643,0.8623908561844787,0.9255926695200805,0.8818999187939234,0.9342438431431498,0.9426811784726635,0.9250112981618475,0.896309786390805,0.9122385470517986,0.8991448830787836,0.9181332281382382,0.8841856998650497,0.94396926612748,0.8829154812256663,0.9374440252530737,0.9497282398850655,0.9294296138988708,0.9390614166106932,0.8949539690539484,0.8891947473516159,0.8778064598231713,0.8364724132798002,0.9006429518564001,0.9349380407667108,0.842945770153312,0.8929346388628872,0.8671742875369057,0.9377532858755694,0.9250721803445604,0.9445750671016724,0.8545459413022107,0.8226450461543908,0.9465516769274033,0.9169860463516348,0.9345393192166629,0.8907796477977399,0.8914285220566551,0.9284571049774213,0.9382754356828592,0.924268287093131,0.91052882630924,0.9268843336330675,0.9227802402002533
Chart_8,0.9236636405736012,0.94415988607476,0.8568051423717592,0.9999999999999999,0.9158541856630346,0.9012337749754653,0.881013561080273,0.8819633657400852,0.9667037287534316,0.8841237555727915,0.9365730200101124,0.9786470585922171,0.9307051283814335,0.9599659531060873,0.9235357085978765,0.9395995827103583,0.964956635385409,0.924738575539358,0.9167393788088042,0.9463682007416385,0.9385715964549702,0.8646653316396498,0.9580995067949075,0.9526834395895899,0.9499564962182262,0.9418310838671855,0.9461897489673533,0.9142106588523987,0.9286780148042718,0.9288623846252387,0.9648183763447105,0.9686648999069225,0.9385513593901865,0.9482883736376487,0.94354838449082,0.9421624226826423,0.908189837543133,0.8404281537409254,0.9662335724391132,0.9320277585912453,0.9259942005763319,0.7096214708908768,0.909168998784989,0.9214057970098088,0.8996941298170797,0.9622995418076771,0.9108928376588709,0.9399437148832602,0.9408845226239072,0.8578967411483036,0.8675725802826327,0.9550498102333792,0.9350165519288696,0.821837061101945,0.9380606044850351,0.8667254308146483,0.9134134059557841,0.8914352628657407,0.9051204303677082,0.9276696816754523,0.8674818094142563,0.9471908268072774,0.9199812172623092,0.9718339668276177,0.9026745972782375,0.9473464226390769,0.9436711410668631,0.8878841097912639,0.8151799682537342,0.9369500409151384,0.9176076317206778,0.9057148735229396,0.9436711410668631,0.732370368992377,0.9250047582671678,0.9273153687411031,0.9243513507689286,0.8872442622820284,0.9708256964708263,0.9183425005753167,0.941933427410181,0.903882117227894,0.9562470376145302,0.8667333705887028,0.9380390099910613
Chart_9,0.96364217001058,0.9586320154804964,0.9189165480150487,0.9158541856630346,0.9999999999999999,0.9455262980597849,0.90045484326391,0.927336344197171,0.8938278757112763,0.9148017296203158,0.94850167781833,0.9376703878286459,0.907674694467481,0.9436213939199002,0.9500292444096019,0.9539840016048046,0.9361357625675122,0.9514373189787926,0.9452704633861172,0.9623415084692063,0.9532032015712083,0.9453654265133064,0.9538915487391136,0.9262868989082916,0.9475666267741483,0.9498328151308478,0.9528681743084099,0.946969894709913,0.8970078008919956,0.9419968775828267,0.9446869340524972,0.9139226050444117,0.9550686370844852,0.9368805039025727,0.9417824398871484,0.969081550523374,0.969181440415827,0.8583829865053686,0.9265567500216053,0.9513113925111735,0.9187175734015613,0.8770207350065425,0.9694710900328922,0.9373721020342365,0.9693261878282512,0.9161139532316429,0.9696739295227601,0.9672900990418499,0.945076063917392,0.9243171777078889,0.9464656136155418,0.9545520383404698,0.9563133716551341,0.9386868280990904,0.9678851576548183,0.9213184132302004,0.9688600288069734,0.9469812212624185,0.9601194064879082,0.9586572836643906,0.9380274994999857,0.9400789938420017,0.8985099236089495,0.9056484640006784,0.9008979400522367,0.9497226294049622,0.8998366798607463,0.9112700964151668,0.9160712257671555,0.9585817729901511,0.9636957878150665,0.9500640872921805,0.9089953229127641,0.891954013352293,0.9679290487358029,0.9474260714513597,0.9382640247460122,0.8771187399675052,0.9096272070546472,0.977101095114762,0.9468620524906143,0.9306658517268722,0.942949204089504,0.9336669201441731,0.9382857711768753
Chart_11,0.9744491765867751,0.9647563115407053,0.9333025507979096,0.9012337749754653,0.9455262980597849,1.0000000000000002,0.847370062338351,0.8825296241802789,0.8680178109210297,0.9099717136481598,0.9677735286567946,0.9379863225072231,0.9374837526377229,0.962698087342724,0.9658693707824713,0.9629106177186655,0.9439677733716516,0.9699336584853268,0.967144200100976,0.9600157331913266,0.9639964622206662,0.9578044122623679,0.9647696405586847,0.9550461630022972,0.9408483514075096,0.9622809162715819,0.9704662478662354,0.9468445197584523,0.9308920319579255,0.9587158114618576,0.9305571137799065,0.9094231184603355,0.9739481866398814,0.9626622082718579,0.966194783005975,0.9767523728290076,0.9639544332423228,0.8677363647854026,0.9399203236711223,0.9264872369802701,0.9267815040429642,0.7952934214109526,0.9631689566000988,0.9326211815938721,0.9523388411781996,0.9408872022585866,0.9641340797102967,0.9662317674883272,0.9672333206962379,0.9243115314892709,0.9483255169385332,0.9481892202768784,0.959063711052646,0.9076102882365105,0.975981129330677,0.9191742285841237,0.9584517059178848,0.9646775437565903,0.960354721030027,0.9600574785393654,0.9255787652244672,0.9369053772678406,0.9165042701596685,0.893607272169785,0.9358371897885047,0.9712496696585238,0.9038858406648447,0.9376072741483888,0.8822106076685261,0.9718230341462963,0.953614644519543,0.9724823310105337,0.8955358559935759,0.8143275922600653,0.9639570726751572,0.9519954927851242,0.9702825181927512,0.9052194723416547,0.9405277624496242,0.9558958260100567,0.9749595712121634,0.9654626283165759,0.9504707964019596,0.962617844234171,0.9611206698392635
Chart_12,0.8897465132352423,0.9060227225878387,0.9064419813266049,0.881013561080273,0.90045484326391,0.847370062338351,1.0000000000000002,0.9019919469797585,0.8845841743258219,0.9212105856274463,0.891672546437805,0.9027849166891793,0.8148468572426987,0.8975123169208141,0.9026217893548608,0.9074820517693404,0.9129483762239308,0.857122713485001,0.84965208453306,0.9128178366589985,0.9070943863980997,0.8303370192213407,0.8974354420055114,0.8772975925497448,0.9229118178229873,0.904249781679635,0.8918463279238481,0.8762227173664969,0.8549717950125018,0.9055551247405694,0.9297773826612538,0.8639022120826626,0.8803037661663211,0.8943430213292644,0.8961898708622887,0.8914297599502489,0.853229090806146,0.8020097835930199,0.8774179041492091,0.921698744672344,0.8530358582155358,0.710032724268228,0.8530849417840208,0.8598647457619861,0.8644575649271173,0.8552408878993892,0.8547532939992534,0.8949710971521472,0.867306441712473,0.823916077098025,0.8010045065254177,0.8941401557902341,0.8633279268718651,0.7801109020794019,0.8828525859515113,0.806146612563622,0.8927488391012726,0.8652494735868055,0.8652261177982381,0.8977028628493545,0.8665598240300156,0.8952838312455219,0.8211710036155442,0.8561170049453902,0.8015520887984634,0.8806970388896297,0.844972355005187,0.8275565123057722,0.7846691072598807,0.8823977747395584,0.8675984034145384,0.8651165525473566,0.8750425455747666,0.7293354327040854,0.8983442068965368,0.8884254821112328,0.8977238612121691,0.8834605216592769,0.8662946895071636,0.8820891666109687,0.8971243514096766,0.8290950290434066,0.8809508541803958,0.8022715373814957,0.8880181867987004
Chart_13,0.914891348977264,0.908440080196676,0.8934699349873444,0.8819633657400852,0.927336344197171,0.8825296241802789,0.9019919469797585,1.0000000000000002,0.8599990491332464,0.8994019797491833,0.9135146100043953,0.8974814854804618,0.8354488810971047,0.8978304938101078,0.9042825393101525,0.8987318217825453,0.9031093350491449,0.8845066975737613,0.88050589887267,0.9055916980347266,0.8981357804239695,0.891795937757222,0.9066834794723603,0.8840025374201934,0.9082211819523268,0.9103450270191565,0.8978466077717551,0.9021349965140235,0.8677359568936905,0.8993614313474084,0.9076988923440433,0.8630989527311305,0.8976044826435592,0.8931116385976137,0.8957300623030046,0.9189040775067533,0.9030750965423481,0.8005579749244808,0.8796469516392535,0.9207498568405561,0.8793154505632267,0.835536153667177,0.9036928114160016,0.913859981783441,0.9361237024633232,0.8646139860618153,0.9057186248898621,0.9267174238597177,0.8979187266388113,0.88176811454815,0.8749224797681816,0.9342075661708393,0.922614604345903,0.8794656101718279,0.9221578695362616,0.8871445843714257,0.94194762593378,0.9238715956077266,0.90048350800967,0.9162423924009501,0.9062280719752575,0.9055675767793184,0.8465611276976137,0.8728801954971567,0.8366975892268529,0.9110116176511136,0.8480538349735466,0.8928443103154254,0.9066916826724997,0.9145638325161852,0.9030298499589263,0.9210405421174295,0.8578015802031276,0.8441968128744952,0.8885578386169423,0.8900838708917156,0.908875987496061,0.8391840605172743,0.8711089013930741,0.9349187587074029,0.9006725091131214,0.8835520592532431,0.8877603966597731,0.8592994987113067,0.8859000636470232
Chart_20,0.8863762416939848,0.9026447891559701,0.8427389129288065,0.9667037287534316,0.8938278757112763,0.8680178109210297,0.8845841743258219,0.8599990491332464,1.0000000000000002,0.8963346936949749,0.8989106702003461,0.9524644492852964,0.9168547200174151,0.9182371626336377,0.8906361945223846,0.8918524317165365,0.9310918727911326,0.8726929816990986,0.8620900586326049,0.9127558912624373,0.8913824227068357,0.8377654652588135,0.9082704381161837,0.9019019141946363,0.896847420292633,0.8951275259584233,0.9058469145505758,0.8766093957611037,0.864668614500493,0.8816366530852532,0.9445025828707092,0.9438111872775904,0.8852101704439577,0.9047322341138978,0.8994567250659775,0.917988702642038,0.8650315090903105,0.8213077969688892,0.9282436087635089,0.8984711189008477,0.8649495101265372,0.7064392501485446,0.8670273225657936,0.8856359895903138,0.8783091538018886,0.9503138806464533,0.8683277334462333,0.9237763983178967,0.9365464291896257,0.8557412568826447,0.8367850557000781,0.9154871214048546,0.8958660473072779,0.8012936722007585,0.9076545965600383,0.8735530561836834,0.8810590366996951,0.8608052677091941,0.8784292572425341,0.9017415908494724,0.875450045111343,0.9228015146184956,0.9151541926448715,0.9840265029084714,0.9018212238918702,0.9184052003945937,0.9319175009027976,0.8921544236860872,0.8210493016546463,0.9155523696649145,0.906916978484018,0.8651237827032818,0.9384344065035164,0.7282384735362804,0.8989838722996998,0.9126356914385976,0.8886921174646832,0.8549193959211937,0.947303332320136,0.8791884959685671,0.9093811803199581,0.8848957116409292,0.9575952631729441,0.8468151577330673,0.9124849553838239
Chart_24,0.9350688704759744,0.9119940125019963,0.9575387754256467,0.8841237555727915,0.9148017296203158,0.9099717136481598,0.9212105856274463,0.8994019797491833,0.8963346936949749,1.0000000000000002,0.937646340575603,0.9038080912170658,0.8737793380797699,0.9081857601502562,0.9056135741005709,0.8967966067191405,0.9125224251588209,0.9069705853445152,0.9025886040690293,0.9104183112733825,0.8968756960173115,0.9080181467590072,0.9083558573080301,0.8918711522518078,0.9000297867201869,0.9117440736564282,0.9050181305739826,0.8993717517002594,0.8783063996687881,0.8995558529182552,0.9143359189694834,0.8685190791242604,0.9023765848585842,0.903498356269759,0.9051863843283159,0.9346242918221397,0.906267463488047,0.8160042021028461,0.8866102993105727,0.8997399672554536,0.8978701180242036,0.7972295095064524,0.9061777548992791,0.8797934115909841,0.9221844670352501,0.9015669464325728,0.9063332862944966,0.9434929247637112,0.9361448360052914,0.9319388567199052,0.916262048750952,0.9103876884726851,0.9221717769376143,0.8878904110579857,0.9342201862916462,0.9245459502023955,0.9243777037704364,0.9210235404349613,0.9297629028521798,0.9391004220203389,0.9077785338909189,0.9120912707958242,0.9233813819361415,0.8856758867706663,0.9241037409211255,0.9293685472559362,0.8788827751969182,0.9173708531106136,0.8833154144391492,0.9389108136855047,0.9424221765539729,0.9206577197884164,0.8788827751969182,0.8178651632719037,0.9184753225761265,0.9285860033824673,0.9112416245575385,0.8459433419984516,0.8946442612081332,0.9127675716746909,0.9248638904980087,0.9305894056228378,0.9339460827728595,0.920159498972511,0.9209899329421595
